concept_id,concept_name,Keep,hx
4021767,Mental disorder AND/OR culture bound syndrome,0,na
37309774,Mental disorder caused by methamphetamine,0,na
40483111,Mental disorder due to drug,0,na
442920,Mental disorder during pregnancy - baby delivered,0,na
442918,Mental disorder during pregnancy - baby not yet delivered,0,na
4130710,Mental disorder in adolescence,0,na
4310330,Mental disorder in childhood,0,na
4085427,Mental disorder in infancy,0,na
45765704,Mental disorder in mother complicating pregnancy,0,na
442919,Mental disorder in the puerperium - baby delivered,0,na
4060424,"Mental disorders during pregnancy, childbirth and the puerperium",0,na
4154767,Mental distress,0,na
4131548,Mental health problem,0,na
4269314,Mental state finding,0,na
380707,Metamorphopsia,0,na
4121813,Micturition syncope,0,na
4322025,Mild anxiety,1,anxiety
4028027,Mild bipolar disorder,1,bipolar
432290,"Mild bipolar I disorder, single manic episode",1,bipolar
4324945,"Mild bipolar II disorder, most recent episode major depressive",1,bipolar
762497,Mild dementia,0,na
437250,Mild depressed bipolar I disorder,1,bipolar
4149320,Mild depression,1,depression
432612,Mild intellectual disability,0,na
4336957,Mild major depression,1,depression
4195572,"Mild major depression, single episode",1,depression
4215917,Mild manic bipolar I disorder,1,bipolar
440079,Mild mixed bipolar I disorder,1,bipolar
4269143,Mild mood disorder,0,na
4228802,Mild recurrent major depression,1,depression
36713698,Minimal depression,1,depression
36715000,Minimal major depression,1,depression
4174987,Minor depressive disorder,1,depression
4338031,Mixed anxiety and depressive disorder,1,anxiety
4338031,Mixed anxiety and depressive disorder,1,depression
436668,Mixed behavior and emotional disorder,0,na
439250,Mixed bipolar affective disorder,1,bipolar
439245,"Mixed bipolar affective disorder, in full remission",1,bipolar
439249,"Mixed bipolar affective disorder, mild",1,bipolar
439248,"Mixed bipolar affective disorder, moderate",1,bipolar
439246,"Mixed bipolar affective disorder, severe, with psychosis",1,bipolar
443906,Mixed bipolar I disorder,1,bipolar
4009648,Mixed bipolar I disorder in full remission,1,bipolar
437529,Mixed bipolar I disorder in partial remission,1,bipolar
433743,Mixed bipolar I disorder in remission,1,bipolar
4046090,Mixed cortical and subcortical vascular dementia,0,na
43021816,Mixed dementia,0,na
37018356,Moderate alcohol dependence,0,na
4263429,Moderate anxiety,1,anxiety
4194222,Moderate bipolar disorder,1,bipolar
440067,"Moderate bipolar I disorder, single manic episode",1,bipolar
4262111,"Moderate bipolar II disorder, most recent episode major depressive",1,bipolar
4280361,Moderate depressed bipolar I disorder,1,depression
4151170,Moderate depression,1,depression
436682,Moderate intellectual disability,0,na
381966,Moderate loss of consciousness,0,na
4307111,Moderate major depression,1,depression
4049623,"Moderate major depression, single episode",1,depression
4307804,Moderate manic bipolar I disorder,1,bipolar
439785,Moderate mixed bipolar I disorder,1,bipolar
4241158,Moderate mood disorder,0,na
4077577,Moderate recurrent major depression,1,depression
36717092,Moderately severe depression,1,depression
36714389,Moderately severe major depression,1,depression
36714998,Moderately severe recurrent major depression,1,depression
444100,Mood disorder,0,na
42538589,Mood disorder caused by stimulant,0,na
4295956,Mood disorder due to a general medical condition,0,na
4244690,Mood disorder in full remission,0,na
4253782,Mood disorder in partial remission,0,na
43021849,Mood disorder of manic type,1,bipolar
4328217,Mood disorder with depressive features due to general medical condition,1,depression
37110429,Mood disorder with depressive symptoms caused by anxiolytic,0,na
4298317,Mood disorder with major depressive-like episode due to general medical condition,1,depression
4102936,Mood disorder with manic features due to general medical condition,1,bipolar
4329560,Mood disorder with mixed features due to general medical condition,1,bipolar
4021782,Mood finding,0,na
4078201,Mood swings,0,na
4096921,Mood-congruent hallucination,1,psychosis
4120400,Moody,0,na
4025214,Motivation finding,0,na
4171496,Motor skill disorder,0,na
4044062,Motor tic disorder,0,na
4081310,Movement of visual image - finding,0,na
379778,Multi-infarct dementia,0,na
444091,Multi-infarct dementia with delirium,0,na
443790,Multi-infarct dementia with delusions,0,na
443864,Multi-infarct dementia with depression,0,na
377254,"Multi-infarct dementia, uncomplicated",0,na
435230,Multiple personality disorder,0,na
4297383,Multiple somatic complaints,0,na
4065322,Munchausen's syndrome,0,na
4219510,Narcissistic character,0,na
440080,Narcissistic personality disorder,0,na
4332995,Needle phobia,0,na
4113235,Neglect of left side of body,0,na
375077,Neglect of one side of body,0,na
4081165,Neglect of part of body,0,na
433177,Neurocirculatory asthenia,0,na
444243,Neurosis,0,na
4233811,Nicotine withdrawal,0,na
4146763,Nicotine-induced organic mental disorder,0,na
4178928,Nightmares associated with chronic post-traumatic stress disorder,1,PTSD
4101149,Non-organic psychosis,0,na
440697,Nonaggressive unsocial conduct disorder,0,na
4152165,Nondependent alcohol abuse,0,na
441276,Nondependent alcohol abuse in remission,0,na
435534,"Nondependent alcohol abuse, continuous",0,na
440685,"Nondependent alcohol abuse, episodic",0,na
439313,Nondependent antidepressant type drug abuse in remission,0,na
434627,"Nondependent antidepressant type drug abuse, continuous",0,na
434917,"Nondependent antidepressant type drug abuse, episodic",0,na
36712926,Nonspecific paroxysmal spell,0,na
4088147,Normal grief reaction,0,na
4012101,Nosophobia,0,na
4038252,O/E - depressed,1,depression
43021805,Obsessional personality disorder,0,na
443876,Obsessive compulsive personality disorder,0,na
440374,Obsessive-compulsive disorder,1,anxiety
4011050,Obsessive-compulsive personality trait,0,na
4218541,Olfactory hallucinations,0,na
4199769,Opioid intoxication delirium,0,na
